Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,290336,143,2030.3,1952.0,1600,2528,251.5,rejection_greedy_sample_kernel
0.0,280256,143,1959.8,1952.0,1824,2208,96.9,triton_poi_fused_add_bitwise_and_clamp_copy__ge_gt_index_where_0
0.0,265760,151,1760.0,1600.0,1504,3488,395.4,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,258080,88,2932.7,2912.0,2688,3424,158.7,"void vllm::cp_gather_indexer_k_quant_cache_kernel<(int)2>(const char *, char *, char *, const int *, const int *, int, long, long, long, long, long, int, int, int)"
0.0,242912,147,1652.5,1632.0,1504,1984,99.2,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,205600,143,1437.8,1376.0,1312,1888,151.6,eagle_prepare_inputs_padded_kernel
0.0,184448,147,1254.7,1216.0,1184,1472,74.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,170592,147,1160.5,1120.0,1088,1440,85.2,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,168768,147,1148.1,1120.0,1120,1920,121.2,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,165984,88,1886.2,1888.0,1728,2336,76.6,"void vllm::topKPerRowPrefill<(int)512, (bool)0>(const float *, const int *, const int *, int *, int, int, int, int)"
0.0,162176,3,54058.7,54016.0,53600,54560,481.4,nvjet_sm103_tst_192x64_64x6_4x1_v_bz_TNT
0.0,73312,148,495.4,480.0,448,992,82.9,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,13472,8,1684.0,1664.0,1536,1888,105.4,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<int, int, int, unsigned int, std::plus<int>>::Policy1000, const int *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, std::plus<int>, at_cuda_detail::cub::NullType, unsigned int, int, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.0,13408,8,1676.0,1664.0,1472,1856,119.7,kernel
0.0,10944,8,1368.0,1408.0,1248,1536,107.8,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,9440,8,1180.0,1184.0,1152,1216,20.5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<int>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,7744,8,968.0,912.0,896,1088,91.7,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>>(T1, int)"
0.0,960,1,960.0,960.0,960,960,0.0,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<short>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
