PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
412,412,0,237,237,150459868.7,170382125.0,20015,235547984,74979195.0,749525.9,13120.0,8928,6047296,1646795.4,149703576.5,170363597.0,734,235528560,74283099.1,6766.3,6784.0,5984,7904,260.9,cuLaunchKernelEx,nvjet_sm103_tst_256x56_64x5_2x1_v_bz_NNT
412,412,0,316,316,150102339.6,173035012.0,14654,238287464,74406937.6,11153.3,10912.0,8064,26208,1786.6,150088947.9,173021924.5,880,238275080,74407335.7,2238.4,1984.0,1824,9056,749.5,cudaLaunchKernel,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
412,412,0,736,735,149899184.3,172167132.0,10191,245619976,78766503.9,4944.7,4864.0,3232,19264,913.8,150093877.7,172557692.0,2974,245611688,78625684.4,4296.3,4032.0,1888,5632,774.2,cudaLaunchKernelExC_v11060,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
412,412,0,237,237,149397151.9,170051885.0,17854,235229808,74254977.7,11624.5,11712.0,7456,26016,1879.5,149379197.6,170033677.0,894,235212752,74255364.2,6329.8,6304.0,6080,7264,177.7,cuLaunchKernelEx,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_TNT
412,412,0,249,249,144813304.1,165831213.0,38078,235179248,78078769.7,11817.0,11936.0,6848,27264,1549.6,144758094.0,165774797.0,1342,235123792,78077799.2,43393.2,44160.0,28352,45888,3345.4,cuLaunchKernelEx,nvjet_sm103_tst_128x56_64x9_4x1_v_bz_splitK_TNT
412,412,0,88,88,142241389.0,166831118.5,14435,244049703,85071126.5,8274.9,7744.0,5728,17408,2173.1,142226771.9,166816206.5,1507,244027943,85071375.8,6342.2,6432.0,4896,7680,617.0,cuLaunchKernelEx,nvjet_sm103_tst_64x8_64x16_1x4_h_bz_splitK_TNT
412,412,0,88,88,142198563.5,166782990.5,12894,243993479,85061177.8,8234.2,7872.0,6080,21920,1862.2,142186823.2,166772190.5,1662,243982407,85061993.0,3506.2,3488.0,3104,4064,222.4,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
412,412,0,88,88,142166978.5,166748062.5,12111,243958855,85054370.2,5951.3,5600.0,4544,11264,1230.4,142157889.4,166739454.5,2270,243950951,85055108.9,3137.8,3104.0,3040,3424,96.8,cudaLaunchKernel,"void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
412,412,0,88,88,142144217.0,166723406.5,9712,243936295,85050293.2,6003.6,5696.0,4416,12032,1127.5,142136765.7,166715758.5,1118,243929447,85050864.6,1447.6,1424.0,1344,1728,73.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
412,412,0,88,88,142013364.6,166578926.5,16286,243792423,85015228.4,11268.7,11344.0,6816,14368,1604.0,141999409.0,166565022.5,990,243778119,85015975.0,2686.9,2656.0,2496,3584,191.7,cuLaunchKernelEx,_fused_indexer_q_rope_quant_kernel
